"	z	"	zq	O
Lux	y	Lux	y	organization
Express	n	express	n_msn1	organization
"	z	"	zq	O
:	z	:	zo	O
Konkurence	n	konkurence	ncfsn5	O
autobusu	n	autobuss	ncmpg1	O
pārvadājumos	n	pārvadājums	ncmpl1	O
Baltijas	n	baltija	n_fsg4	location
reģionā	n	reģions	n_msl1	location
divkāršojusies	v	divkāršoties	vmypdfsnasn	O

01	x	01	xn	O
Feb	y	Feb	y	O
2013	x	2013	xn	O

Lai_arī	c	lai_arī	csc	O
starptautiskajos	a	starptautisks	armplyp	O
pārvadājumos	n	pārvadājums	ncmpl1	O
ar	s	ar	sppdn	O
autobusiem	n	autobuss	ncmpd1	O
visu	p	viss	pg0msa_	O
pārvadātāju	n	pārvadātājs	n_msa1	O
piedāvātais	v	piedāvāt	vmnpdmsnpsy	O
sēdvietu	n	sēdvieta	ncfpg4	O
skaitu	n	skaits	ncmsa1	O
kopumā	n	kopums	ncmsl1	O
ir	v	būt	vcnipii30an	O
divkāršojies	v	divkāršoties	vmypdmsnasn	O
,	z	,	zc	O
uzņēmumam	n	uzņēmums	ncmsd1	O
"	z	"	zq	O
Lux	y	Lux	y	organization
Express	n	express	n_msn1	organization
"	z	"	zq	O
izdevies	v	izdoties	vmypdmsnasn	O
savu	p	sava	ps0fsa_	O
auditoriju	n	auditorija	ncfsa4	O
noturēt	v	noturēt	v_nn0_3000n	O
un	c	un	ccs	O
pat	q	pat	qs	O
palielināt	v	palielināt	vmnn0t3000n	O
,	z	,	zc	O
piedāvājot	v	piedāvāt	vmnpu000000	O
gan	c	gan	ccr	O
"	z	"	zq	O
lētā	a	lēts	afmsgyp	O
gala	n	gals	ncmsg1	O
"	z	"	zq	O
maršrutus	n	maršruts	ncmpa1	O
,	z	,	zc	O
gan	c	gan	ccr	O
sniedzot	v	sniegt	vmnpu000000	O
augsta	a	augsts	afmsgnp	O
komforta	n	komforts	ncmsg1	O
piedāvājumu	n	piedāvājums	ncmsa1	O
,	z	,	zc	O
biznesa	n	bizness	ncmsg1	O
portālu	n	portāls	ncmsa1	O
"	z	"	zq	O
Nozare	n	nozare	ncfsn5	organization
.	z	.	zs	organization

lv	x	lv	xx	organization
"	z	"	zq	O
informē	v	informēt	vmnipt230an	O
"	z	"	zq	O
Lux	y	Lux	y	organization
Express	n	express	n_msn1	organization
"	z	"	zq	O
valdes	n	valde	ncfsg5	profession
priekšsēdētājs	n	priekšsēdētājs	ncmsn1	profession
Hannes	n	hanne	n_fsg5	person
Sarpū	n	sarpus	n_msl3	person
.	z	.	zs	O

Pērn	r	pērn	r0t	time
pieaugusi	v	pieaugt	vmnpdfsnasn	O
konkurence	n	konkurence	ncfsn5	O
pasažieru	n	pasažieris	ncmpg2	O
pārvadājumos	n	pārvadājums	ncmpl1	O
maršrutā	n	maršruts	ncmsl1	O
Sanktpēterburga	v	sanktpēterburgt	v_nis_130an	location
-	z	-	zd	O
Baltijas	n	baltija	n_fsg4	location
valstis	n	valsts	ncfpn6	location
un	c	un	ccs	O
,	z	,	zc	O
īpaši	r	īpaši	r__	O
,	z	,	zc	O
Sanktpēterburga	v	sanktpēterburgt	v_nis_130an	location
-	z	-	zd	O
Tallina	n	tallina	n_fsn4	location
.	z	.	zs	O

Sarpū	n	sarpus	n_msl3	person
arī	q	arī	qs	O
atklāj	v	atklāt	vmnipt130an	O
,	z	,	zc	O
ka	c	ka	css	O
Latvijas	n	Latvija	npfsg4	location
iedzīvotāju	n	iedzīvotājs	ncmpg1	O
vidū	n	vidus	ncmvl3	O
vispopulārākie	a	populārs	afmpnys	O
galamērķi	n	galamērķis	n_mpn2	O
ir	v	būt	vcnipii30an	O
Tallina	n	tallina	n_fsn4	location
,	z	,	zc	O
Viļņa	n	Vilnis	npmsg2	location
un	c	un	ccs	O
Sanktpēterburga	v	sanktpēterburgt	v_nis_130an	location
.	z	.	zs	O

Tāpat	q	tāpat	qs	O
uzņēmums	n	uzņēmums	ncmsn1	O
plāno	v	plānot	vmnipt230an	O
"	z	"	zq	O
aizpildīt	v	aizpildīt	vmnn0t3000n	O
"	z	"	zq	O
tukšo	a	tukšs	afmsayp	O
nišu	n	niša	n_fsa4	O
un	c	un	ccs	O
piedāvāt	v	piedāvāt	vmnn0t2000n	O
autobusu	n	autobuss	ncmpg1	O
satiksmi	n	satiksme	ncfsa5	O
no	s	no	sppdy	O
Sanktpēterburgas	n	Sanktpēterburgas	n_fsg_	location
un	c	un	ccs	O
Helsinkiem	n	helsinki	n_mdd1	location
,	z	,	zc	O
jo	c	jo	css	O
autobusu	n	autobuss	ncmpg1	O
satiksme	n	satiksme	ncfsn5	O
šajā	p	šis	pd3msl_	O
posmā	n	posms	ncmsl1	O
nav	v	nebūt	vcnipii30ay	O
attīstīta	v	attīstīt	vmnpdfsnpsn	O
,	z	,	zc	O
bet	c	bet	ccs	O
ik	q	ik	qs	O
gadu	n	gads	ncmsa1	O
uz	s	uz	sppdy	O
Helsinkiem	n	helsinki	n_mdd1	location
vēlas	v	vēlēties	voyipt330an	O
doties	v	doties	vmyn0ti000n	O
ap	s	ap	sppdy	O
sešiem	m	seši	mcsmpdv	O
miljoniem	n	miljoniem	n_mpd_	O
interesentu	n	interesents	ncmpg1	O
.	z	.	zs	O

Kāpēc	r	kāpēc	r0c	O
virzienā	n	virziens	ncmsl1	O
uz	s	uz	sppdy	O
Sanktpēterburgu	n	Sanktpēterburgu	n_msa_	location
pieaugusi	v	pieaugt	vmnpdfsnasn	O
pārvadātāju	n	pārvadātājs	n_mpg1	O
konkurence	n	konkurence	ncfsn5	O
?	z	?	zs	O

Jāatzīst	v	atzīt	vmnd0t100an	O
,	z	,	zc	O
nekad	r	nekad	r0t	O
vēl	r	vēl	r0t	O
nav	v	nebūt	vcnipii30ay	O
bijis	v	būt	vcnpdmsnasn	O
tik	r	tik	r0q	O
daudz	r	daudz	rpq	O
konkurentu	n	konkurents	ncmpg1	O
pasažieru	n	pasažieris	ncmpg2	O
pārvadājumos	n	pārvadājums	ncmpl1	O
maršrutā	n	maršruts	ncmsl1	O
Sanktpēterburga	v	sanktpēterburgt	v_nis_130an	location
-	z	-	zd	O
Baltijas	n	baltija	n_fsg4	location
valstis	n	valsts	ncfpn6	location
un	c	un	ccs	O
,	z	,	zc	O
īpaši	r	īpaši	r__	O
,	z	,	zc	O
Sanktpēterburga	v	sanktpēterburgt	v_nis_130an	location
-	z	-	zd	O
Tallina	n	tallina	n_fsn4	location
,	z	,	zc	O
kurā	p	kura	pq0fsl_	O
konkurence	n	konkurence	ncfsn5	O
ir	v	būt	vcnipii30an	O
kļuvusi	v	kļūt	vtnpdfsnasn	O
daudz	r	daudz	rpq	O
sīvāka	a	sīva	affsnnc	O
tieši	q	tieši	qs	O
pērn	r	pērn	r0t	O
.	z	.	zs	O

Sanktpēterburga	v	sanktpēterburgt	v_nis_130an	location
ir	v	būt	vcnipii30an	O
Baltijas	n	baltija	n_fsg4	location
valstīm	n	valsts	ncfpd6	location
tuvākā	a	tuva	affslnc	O
lielākā	a	liela	affsnyc	O
megapolise	n	megapolise	n_fsn5	O
ar	s	ar	sppdn	O
vairāk	r	daudz	rcq	O
nekā	c	nekā	css	O
pieci	m	pieci	mcsmpnv	O
miljoni	m	miljons	mcsmpnm	O
iedzīvotāju	n	iedzīvotājs	ncmpg1	O
.	z	.	zs	O

Jau	r	jau	r0t	O
vairāk	r	daudz	rcq	O
nekā	c	nekā	css	O
10	x	10	xn	O
gadu	n	gads	ncmpg1	O
laikā	n	laiks	ncmsl1	O
viņu	p	viņa	pp3fsa_	O
populārākais	a	populārs	afmsnyc	O
galamērķis	n	galamērķis	n_msn2	O
īsiem	a	īss	afmpdnp	O
atvaļinājumiem	n	atvaļinājums	ncmpd1	O
ir	v	būt	vcnipii30an	O
bijusi	v	būt	vcnpdfsnasn	O
Somija	n	Somija	npfsn4	location
,	z	,	zc	O
bet	c	bet	ccs	O
apmēram	n	apmērs	ncmsd1	O
pirms	s	pirms	sppdy	O
diviem	m	divi	mcsmpdv	O
-	z	-	zd	O
trijiem	m	trīs	mcsmpdv	O
gadiem	n	gads	ncmpd1	O
Baltijas	n	baltija	n_fsg4	location
valstis	n	valsts	ncfpn6	location
,	z	,	zc	O
galvenokārt	r	galvenokārt	r0_	O
Igauniju	n	igaunija	n_fsa4	location
,	z	,	zc	O
bet_arī	c	bet_arī	ccd	O
Latviju	n	Latvija	npfsa4	location
,	z	,	zc	O
sāka	v	sākt	vmnist130an	O
piesaistīt	v	piesaistīt	v_nn0_3000n	O
arvien	r	arvien	r0t	O
vairāk	r	daudz	rcq	O
Sanktpēterburgas	v	sanktpēterburgties	v_yip_130an	location
iedzīvotāju	n	iedzīvotājs	ncmpg1	O
,	z	,	zc	O
organizējot	v	organizēt	vmnpu000000	O
tūrisma	n	tūrisms	ncmsg1	O
seminārus	n	seminārs	ncmpa1	O
,	z	,	zc	O
piedaloties	v	piedalīties	vmypu000000	O
gadatirgos	n	gadatirgus	ncmpl3	O
un	c	un	ccs	O
ar	s	ar	sppdn	O
reklāmas	n	reklāma	ncfsg4	O
kampaņām	n	kampaņa	ncfpd4	O
masu	n	masa	ncfpg4	O
medijos	n	medijs	ncmpl1	O
,	z	,	zc	O
popularizējot	v	popularizēt	vmnpu000000	O
Igauniju	n	igaunija	n_fsa4	location
un	c	un	ccs	O
Latviju	n	Latvija	npfsa4	location
kā	c	kā	css	O
galamērķus	n	galamērķis	n_mpa2	O
.	z	.	zs	O

Līdz	r	līdz	r0_	O
ar	s	ar	sppdn	O
to	p	tas	pd3msa_	O
Baltijas	n	baltija	n_fsg4	location
valstu	n	valsts	ncfpg6	location
atpazīstamība	n	atpazīstamība	n_fsn4	O
palielinājās	v	palielināties	vmyisi330an	O
un	c	un	ccs	O
būtiski	r	būtiski	r__	O
uzlabojās	v	uzlaboties	vmyisi230an	O
reģiona	n	reģions	n_msg1	O
tēls	n	tēls	ncmsn1	O
-	z	-	zd	O
tās	p	tā	pd3fpn_	O
ir	v	būt	vcnipii30an	O
ģeogrāfiski	r	ģeogrāfiski	r__	O
tuvas	a	tuva	affpnnp	O
,	z	,	zc	O
krieviski	r	krieviski	r__	O
runājošas	v	runāt	vmnpdfpnapn	O
valstis	n	valsts	ncfpn6	O
,	z	,	zc	O
kurās	p	kura	pq0fpl_	O
cenas	n	cena	ncfpn4	O
atbilst	v	atbilst	vmnn0t1000n	O
piedāvātajai	a	piedāvātajai	a_fsdy_	O
kvalitātei	n	kvalitāte	ncfsd5	O
.	z	.	zs	O

Likumsakarīgi	a	likumsakarīgs	armpnnp	O
pieprasījums	n	pieprasījums	ncmsn1	O
pieauga	v	pieaugt	vmnisi130an	O
.	z	.	zs	O

Turklāt	q	turklāt	qs	O
tā_kā	q	tā_kā	qc	O
Ivangorod-Narva	n	ivangorod-narvs	n_msg1	location
robežas	n	robeža	ncfpa4	location
ar	s	ar	sppdn	O
privāto	a	privāts	afmsayp	O
transportu	n	transports	ncmpg1	O
šķērsošana	n	šķērsošana	n_fsn_	O
nav	v	nebūt	vcnipii30ay	O
tik	r	tik	r0q	O
ērta	a	ērta	affsnnp	O
,	z	,	zc	O
cilvēki	n	cilvēks	ncmpn1	O
bieži	r	bieži	r__	O
izvēlas	v	izvēlēties	vmyipi330an	O
maršruta	n	maršruts	ncmsg1	O
transportu	n	transports	ncmsa1	O
.	z	.	zs	O

Krievu	n	krievs	ncmpg1	organization
tūristu	n	tūrists	ncmpg1	O
skaita	n	skaits	ncmsg1	O
palielināšanos	n	palielināšanās	n_fsar	O
Baltijas	n	baltija	n_fsg4	location
valstīs	n	valsts	ncfpl6	location
bija	v	būt	vcnisii30an	O
grūti	r	grūti	r__	O
nepamanīt	v	nepamanīt	vmnn0t3000y	O
un	c	un	ccs	O
,	z	,	zc	O
protams	q	protams	qs	O
,	z	,	zc	O
arī	q	arī	qs	O
pārvadātāji	n	pārvadātājs	n_mpn1	O
saskatīja	v	saskatīt	vmnist330an	O
lielu	a	liela	affsanp	O
biznesa	n	bizness	ncmsg1	O
potenciālu	n	potenciāls	ncmsa1	O
.	z	.	zs	O

Līdz	r	līdz	r0_	O
ar	s	ar	sppdn	O
to	p	tas	pd3msa_	O
pēdējo	a	pēdēja	arfsayp	time
pāris	n	pāris	ncmsn2	time
gadu	n	gads	ncmpg1	time
laikā	n	laiks	ncmsl1	time
samērā	r	samērā	r0q	O
strauji	r	strauji	r__	O
pieauga	v	pieaugt	vmnisi130an	O
uzņēmumu	n	uzņēmums	ncmpg1	O
skaits	n	skaits	ncmsn1	O
,	z	,	zc	O
kas	p	kas	pq000n_	O
piedāvā	v	piedāvāt	vmnipt230an	O
pārvadājumu	n	pārvadājums	ncmpg1	O
pakalpojumus	n	pakalpojums	ncmpa1	O
.	z	.	zs	O

"	z	"	zq	O
Lux	y	Lux	y	organization
Express	n	express	n_msn1	organization
"	z	"	zq	O
ir	v	būt	vcnipii30an	O
izdevies	v	izdoties	vmypdmsnasn	O
īsā	a	īss	afmslnp	O
laikā	n	laiks	ncmsl1	O
ieiet	v	ieiet	vmnn0ii000n	O
ar	s	ar	sppdn	O
savu	p	sava	ps0fsa_	O
tūrisma	n	tūrisms	ncmsg1	O
piedāvājumu	n	piedāvājums	ncmsa1	O
