organizations	Ministrs kabinets
organization	Aizsardzība ministrija
organization	Ārlietas ministrija
organization	Ekonomika ministrija
organization	Finansa ministrija
organization	Iekšlietas ministrija
organization	Izglītība un zinātne ministrija
organization	Kultūra ministrija
organization	Labklājība ministrija
organization	Satiksme ministrija
organization	Tieslietas ministrija
organization	Vide aizsardzība un reģionāla attīstība ministrija
organization	Zemkopība ministrija
organization	ĀM
organization	AM
organization	EM
organization	FM
organization	IM
organization	IZM
organization	Km
organization	LM
organization	SM
organization	TM
organization	Varēt
organization	ZM
organization	Militārs dienests iesaukšana centrs
organization	Nacionāls bruņot spēks
organization	Vidzeme valsts miltāra dienests pārvalde
organization	Vidzeme VMDP
organization	Latgale valsts miltāra dienests pārvalde
organization	Latgale VMDP
organization	Kurzeme valsts miltāra dienests pārvalde
organization	Kurzeme VMDP
organization	Zemgale valsts miltāra dienests pārvalde
organization	Zemgale VMDP
organization	Rīga valsts miltāra dienests pārvalde
organization	Rīga VMDP
organization	Latvija Nacionāla aizsardzība akadēmija
organization	Latvija Karš muzejs
organization	Aizsardzība īpašums fonds
organization	Aizsardzība ministrija autobāze
organization	Aizsardzība ministrija autobāze
organization	Diplomātisks serviss aģentūra
organization	Centrāla statistika pārvalde
organization	Konkurence padome
organization	Energoapgāde regulēšana padome
organization	Latvija nacionāls akreditācija birojs
organization	Valsts metroloģiska inspekcija
organization	Centrāla dzīvot māja privatizācija komisija
organization	Patērētājs tiesības aizsardzība centrs
organization	Valsts iekšēja tirgus aizsardzība birojs
organization	Valsts energoinspekcija
organization	Privatizācija aģentūra
organization	VSIA " Reģions attīstība "
organization	SIA " Latvija standarts "
organization	Latvija Nacionāls metroloģija centrs
organization	Latvenergs
organization	Centrāla finansa un kontrakts vienība
organization	Valsts ieņēmums dienests
organization	Valsts prove uzraudzība inspekcija
organization	FM Izloze un azartspēle uzraudzība inspekcija
organization	Satiksme birojs
organization	Valsts kase
organization	Noguldījums garantija fonds pārvalde
organization	Valsts nekustams īpašums aģentūra
organization	Latvija Loto
organization	Latvija Hipotēka un zeme banka
organization	VSIA " Nams "
organization	IM Sakars centrs
organization	IM Informācija centrs
organization	Sardze pulks
organization	Patvērums meklētājs izmitināšana centrs " Mucenieki "
organization	Saimniecība un apgāde pārvalde
organization	Valsts policija
organization	Drošība policija
organization	Valsts robežsardze
organization	Valsts ugunsdzēsība un glābšana dienests
organization	Pilsonība un migrācija lietus pārvalde
organization	Latvija Policija akadēmija
organization	VU " Materiāla rezerve "
organization	IM poliklīnika
organization	VU " IM medicīna centrs "
organization	IM medicīna centrs
organization	Komplekss " Dzintars "
organization	VSIA " Likums Vārds "
organization	VU " Assets "
organization	Policija centrāls sports klubs
organization	IM sports komplekss
organization	Jelgava pilsēta un rajons policija sports klubs
organization	Liepāja policija sports klubs
organization	Daugavpils policija sports klubs
organization	Telekomunikācijas tehnika centrs
organization	Izglītība saturs un eksaminācija centrs
